"№";"ИНН";"ОГРН";"Название";"Страна";"Регион";"Населенный Пункт";"Индекс";"Адрес";"Раздел";"Подраздел";"Рубрика";"Ключевое слово";"Телефоны";"Сотовый";"Метро (Остановка)";"Email";"Сайт";"Vk.com";"Twitter.com";"Facebook.com";"Instagram.com";"X";"Y";"Дополнительно";"Время Работы"
"1022340922";"";"";"Сбербанк";"Россия";"Алтайский край";"Алейск";"658130";"Первомайская ул., 81, Алейск";"Бизнес";"Банки  и банкоматы";"Банк";"";"8 (800) 555-55-50";"";"";"destek@altinyildizclassics.com";"http://www.sberbank.ru/";"https://vk.com/sberbank";"https://twitter.com/sberbank";"https://www.facebook.com/sberbank";"";"82.778689";"52.491622";"";""
"1022340922";"";"";"Сбербанк";"Россия";"Алтайский край";"Алейск";"658130";"Первомайская ул., 81, Алейск";"Бизнес";"Банки  и банкоматы";"Банкомат";"";"8 (800) 555-55-50";"";"";"destek@altinyildizclassics.com";"http://www.sberbank.ru/";"https://vk.com/sberbank";"https://twitter.com/sberbank";"https://www.facebook.com/sberbank";"";"82.778689";"52.491622";"";""
"1116610781";"";"";"Сбербанк";"Россия";"Алтайский край";"Алейск";"658136";"Ульяновский пер., 90, Алейск";"Бизнес";"Банки  и банкоматы";"Банк";"";"8 (800) 555-55-50";"";"";"destek@altinyildizclassics.com";"http://www.sberbank.ru/";"https://vk.com/sberbank";"https://twitter.com/sberbank";"https://www.facebook.com/sberbank";"";"82.75335";"52.49666";"";""
"1116610781";"";"";"Сбербанк";"Россия";"Алтайский край";"Алейск";"658136";"Ульяновский пер., 90, Алейск";"Бизнес";"Банки  и банкоматы";"Банкомат";"";"8 (800) 555-55-50";"";"";"destek@altinyildizclassics.com";"http://www.sberbank.ru/";"https://vk.com/sberbank";"https://twitter.com/sberbank";"https://www.facebook.com/sberbank";"";"82.75335";"52.49666";"";""
"227053972317";"";"";"Сбербанк";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 158, Алейск";"Бизнес";"Банки  и банкоматы";"Банк";"";"8 (800) 555-55-50";"";"";"destek@altinyildizclassics.com";"http://www.sberbank.ru/";"https://vk.com/sberbank";"https://twitter.com/sberbank";"https://www.facebook.com/sberbank";"";"82.770699";"52.495811";"";""
"227053972317";"";"";"Сбербанк";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 158, Алейск";"Бизнес";"Банки  и банкоматы";"Банкомат";"";"8 (800) 555-55-50";"";"";"destek@altinyildizclassics.com";"http://www.sberbank.ru/";"https://vk.com/sberbank";"https://twitter.com/sberbank";"https://www.facebook.com/sberbank";"";"82.770699";"52.495811";"";""
"15485392119";"";"";"Почта банк";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 119, Алейск";"Бизнес";"Банки  и банкоматы";"Банк";"";"8 (800) 550-07-70";"";"";"pr@pochtabank.ru";"https://www.pochtabank.ru/";"https://vk.com/pochtabank";"";"https://www.facebook.com/pochtabank";"";"82.775379";"52.498116";"";"пн-пт 8:00–20:00, сб 9:00–18:00, вс 9:00–14:00"
"15485392119";"";"";"Почта банк";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 119, Алейск";"Бизнес";"Банки  и банкоматы";"Банкомат";"";"8 (800) 550-07-70";"";"";"pr@pochtabank.ru";"https://www.pochtabank.ru/";"https://vk.com/pochtabank";"";"https://www.facebook.com/pochtabank";"";"82.775379";"52.498116";"";"пн-пт 8:00–20:00, сб 9:00–18:00, вс 9:00–14:00"
"1661401626";"";"";"Россельхозбанк";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 134, Алейск, Россия";"Бизнес";"Банки  и банкоматы";"Банк";"";"8 (800) 100-01-00";"";"";"";"https://rshb.ru/";"https://vk.com/rshbru";"";"https://www.facebook.com/rshb.ru";"";"82.772915";"52.497466";"";""
"1661401626";"";"";"Россельхозбанк";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 134, Алейск, Россия";"Бизнес";"Банки  и банкоматы";"Банкомат";"";"8 (800) 100-01-00";"";"";"";"https://rshb.ru/";"https://vk.com/rshbru";"";"https://www.facebook.com/rshb.ru";"";"82.772915";"52.497466";"";""
"1599140953";"";"";"ВТБ";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 116, Алейск";"Бизнес";"Банки  и банкоматы";"Банк";"";"8 (800) 100-24-24";"";"";"vozvrat@vozvrat-online.ru,  info@vtb.ru,  compliance@msk.vtb.ru,  corp@vtb.ru,  ksa@vtb.ru,  shareholders@vtb.ru,  investorrelations@vtb.ru,  pr@vtb.ru";"https://www.vtb.ru/";"";"";"http://www.facebook.com/vtb24";"";"82.774749";"52.496708";"";""
"1599140953";"";"";"ВТБ";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 116, Алейск";"Бизнес";"Банки  и банкоматы";"Банкомат";"";"8 (800) 100-24-24";"";"";"vozvrat@vozvrat-online.ru,  info@vtb.ru,  compliance@msk.vtb.ru,  corp@vtb.ru,  ksa@vtb.ru,  shareholders@vtb.ru,  investorrelations@vtb.ru,  pr@vtb.ru";"https://www.vtb.ru/";"";"";"http://www.facebook.com/vtb24";"";"82.774749";"52.496708";"";""
"1042003810";"";"";"Совкомбанк";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 128, Алейск";"Бизнес";"Банки  и банкоматы";"Банк";"";"8 (800) 200-66-96";"";"";"hr@sovcombank.ru,  job@sovcombank.ru";"http://www.sovcombank.ru/";"http://vk.com/sovcombank";"";"http://www.facebook.com/sovcombank";"https://ok.ru/paosovcombank";"82.771758";"52.495155";"";"пн-пт 9:00–18:00, сб 9:00–14:00"
"1042003810";"";"";"Совкомбанк";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 128, Алейск";"Бизнес";"Банки  и банкоматы";"Банкомат";"";"8 (800) 200-66-96";"";"";"hr@sovcombank.ru,  job@sovcombank.ru";"http://www.sovcombank.ru/";"http://vk.com/sovcombank";"";"http://www.facebook.com/sovcombank";"https://ok.ru/paosovcombank";"82.771758";"52.495155";"";"пн-пт 9:00–18:00, сб 9:00–14:00"
"93501834445";"";"";"Сбербанк";"Россия";"Алтайский край";"Алейск";"658130";"Советская ул., 102, Алейск";"Бизнес";"Банки  и банкоматы";"Банк";"";"8 (800) 555-55-50";"";"";"destek@altinyildizclassics.com";"http://www.sberbank.ru/";"https://vk.com/sberbank";"https://twitter.com/sberbank";"https://www.facebook.com/sberbank";"";"82.777519";"52.493926";"";"ежедневно, круглосуточно"
"93501834445";"";"";"Сбербанк";"Россия";"Алтайский край";"Алейск";"658130";"Советская ул., 102, Алейск";"Бизнес";"Банки  и банкоматы";"Банкомат";"";"8 (800) 555-55-50";"";"";"destek@altinyildizclassics.com";"http://www.sberbank.ru/";"https://vk.com/sberbank";"https://twitter.com/sberbank";"https://www.facebook.com/sberbank";"";"82.777519";"52.493926";"";"ежедневно, круглосуточно"
"229314983603";"";"";"Газпромбанк";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 134, Алейск, Россия";"Бизнес";"Банки  и банкоматы";"Банк";"";"8 (800) 100-07-01, 8 (800) 100-00-89";"";"";"mailbox@gazprombank.ru,  broker@gazprombank.ru,  mail@example.com";"http://www.gazprombank.ru/";"";"";"";"";"82.77289";"52.497463";"";"ежедневно, 8:00–22:00"
"229314983603";"";"";"Газпромбанк";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 134, Алейск, Россия";"Бизнес";"Банки  и банкоматы";"Банкомат";"";"8 (800) 100-07-01, 8 (800) 100-00-89";"";"";"mailbox@gazprombank.ru,  broker@gazprombank.ru,  mail@example.com";"http://www.gazprombank.ru/";"";"";"";"";"82.77289";"52.497463";"";"ежедневно, 8:00–22:00"
"1137733852";"";"";"Сбербанк";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 128, Алейск";"Бизнес";"Банки  и банкоматы";"Банк";"";"8 (800) 555-55-50";"";"";"destek@altinyildizclassics.com";"http://www.sberbank.ru/";"https://vk.com/sberbank";"https://twitter.com/sberbank";"https://www.facebook.com/sberbank";"";"82.771736";"52.495206";"";""
"1137733852";"";"";"Сбербанк";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 128, Алейск";"Бизнес";"Банки  и банкоматы";"Банкомат";"";"8 (800) 555-55-50";"";"";"destek@altinyildizclassics.com";"http://www.sberbank.ru/";"https://vk.com/sberbank";"https://twitter.com/sberbank";"https://www.facebook.com/sberbank";"";"82.771736";"52.495206";"";""
"232846142865";"";"";"Страхование";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 116, Алейск";"Бизнес";"Деловые услуги";"Автоэкспертиза, оценка автомобилей";"";"";"";"";"";"";"";"";"";"";"82.774796";"52.4967";"";""
"232846142865";"";"";"Страхование";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 116, Алейск";"Бизнес";"Страхование";"Страховая компания";"";"";"";"";"";"";"";"";"";"";"82.774796";"52.4967";"";""
"232846142865";"";"";"Страхование";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 116, Алейск";"Бизнес";"Экспертиза и патентование";"Экспертиза";"";"";"";"";"";"";"";"";"";"";"82.774796";"52.4967";"";""
"206574420109";"";"";"Плюс";"Россия";"Алтайский край";"Алейск";"";"Пионерская ул., 146, Алейск";"Бизнес";"Деловые услуги";"Дисконтные системы и купонаторы";"";"";"";"";"";"";"";"";"";"";"82.77181";"52.496696";"";""
"1412262252";"";"";"Росинкас";"Россия";"Алтайский край";"Алейск";"658130";"Советская ул., 100А, Алейск";"Бизнес";"Деловые услуги";"Инкассация";"";"+7 (38553) 2-12-02";"";"";"supportsite@rosinkas.ru";"https://www.rosinkas.ru/";"";"";"";"";"82.778074";"52.494607";"";""
"59384497741";"";"";"Boxberry";"Россия";"Алтайский край";"Алейск";"";"Банковский пер., 21, Алейск";"Бизнес";"Деловые услуги";"Курьерские услуги";"";"8 (800) 222-80-00";"";"";"vitaliy_ok_off@mail.ru,  franchise@boxberry.ru,  info@boxberry.ru,  ukinfodata@boxberry.ru,  usainfodata@boxberry.ru";"http://boxberry.ru/";"https://vk.com/club80315656";"";"https://www.facebook.com/boxberry.ru";"";"82.772163";"52.497134";"";"пн-сб 9:00–17:00"
"154974909774";"";"";"DPD";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 128, Алейск, Россия";"Бизнес";"Деловые услуги";"Курьерские услуги";"";"8 (800) 250-44-34";"";"";"554049@inbox.ru";"http://www.dpd.ru/";"";"";"https://www.facebook.com/dpd.ru";"";"82.771758";"52.495155";"";"ежедневно, 10:00–19:00"
"154974909774";"";"";"DPD";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 128, Алейск, Россия";"Транспорт и перевозки";"Экспедирование и перевозка грузов";"Автомобильные грузоперевозки";"";"8 (800) 250-44-34";"";"";"554049@inbox.ru";"http://www.dpd.ru/";"";"";"https://www.facebook.com/dpd.ru";"";"82.771758";"52.495155";"";"ежедневно, 10:00–19:00"
"154974909774";"";"";"DPD";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 128, Алейск, Россия";"Транспорт и перевозки";"Экспедирование и перевозка грузов";"Грузовые авиаперевозки";"";"8 (800) 250-44-34";"";"";"554049@inbox.ru";"http://www.dpd.ru/";"";"";"https://www.facebook.com/dpd.ru";"";"82.771758";"52.495155";"";"ежедневно, 10:00–19:00"
"244601802210";"";"";"Информационно-консультационный центр поддержки предпринимательства";"Россия";"Алтайский край";"Алейск";"";"Комсомольская ул., 119, Алейск";"Бизнес";"Кадры, консалтинг";"Бизнес-консалтинг";"";"";"";"";"";"";"";"";"";"";"82.771909";"52.494434";"";""
"32206702175";"";"";"КГКУ центр занятости населения г. Алейска";"Россия";"Алтайский край";"Алейск";"658130";"ул. Сердюка, 154, Алейск";"Бизнес";"Кадры, консалтинг";"Центр занятости";"";"";"";"";"";"";"";"";"";"";"82.759281";"52.485894";"";"пн-пт 8:00–17:00"
"135592632059";"";"";"Жилищное управление";"Россия";"Алтайский край";"Алейск";"";"Советская ул., 7Б, Алейск";"Бизнес";"Организации";"Управляющая компания";"";"+7 (38553) 4-33-24";"";"";"";"";"";"";"";"";"82.79136";"52.501306";"";"пн-пт 8:00–17:00"
"1382653513";"";"";"Росгосстрах";"Россия";"Алтайский край";"Алейск";"658130";"Советская ул., 100А, Алейск, Россия";"Бизнес";"Страхование";"Страхование автомобилей";"";"8 (800) 200-09-00, +7 (38553) 2-21-67";"";"";"feedback.site@kapmed.ru";"http://www.rgs.ru/";"https://vk.com/rosgosstrakh_official";"";"https://www.facebook.com/RGS.ru";"";"82.777913";"52.494733";"";"пн-чт 8:30–17:30, перерыв 13:00–14:00, пт 8:30–16:30, перерыв 13:00–14:00"
"1382653513";"";"";"Росгосстрах";"Россия";"Алтайский край";"Алейск";"658130";"Советская ул., 100А, Алейск, Россия";"Бизнес";"Страхование";"Страховая компания";"";"8 (800) 200-09-00, +7 (38553) 2-21-67";"";"";"feedback.site@kapmed.ru";"http://www.rgs.ru/";"https://vk.com/rosgosstrakh_official";"";"https://www.facebook.com/RGS.ru";"";"82.777913";"52.494733";"";"пн-чт 8:30–17:30, перерыв 13:00–14:00, пт 8:30–16:30, перерыв 13:00–14:00"
"147199215517";"";"";"Стол услуг";"Россия";"Алтайский край";"Алейск";"";"Первомайская ул., 82, Алейск";"Бизнес";"Страхование";"Страхование автомобилей";"";"";"";"";"";"";"";"";"";"";"82.779845";"52.493155";"";""
"147199215517";"";"";"Стол услуг";"Россия";"Алтайский край";"Алейск";"";"Первомайская ул., 82, Алейск";"Бизнес";"Юридические услуги";"Юридические услуги";"";"";"";"";"";"";"";"";"";"";"82.779845";"52.493155";"";""
"232316820366";"";"";"Автострахование";"Россия";"Алтайский край";"Алейск";"";"Комсомольская ул., 119, Алейск";"Бизнес";"Страхование";"Страхование автомобилей";"";"";"";"";"";"";"";"";"";"";"82.771914";"52.49443";"";""
"192235480089";"";"";"РЕСО-Мед";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 120, Алейск";"Бизнес";"Страхование";"Страховая компания";"";"8 (800) 200-92-04, +7 (3852) 55-67-67, +7 (38553) 2-49-64";"";"";"sekretar@reso-med.com,  hl@mofoms.ru";"http://reso-med.com/";"http://vk.com/resomed";"http://twitter.com/smkresomed";"https://www.facebook.com/smkresomed";"";"82.774822";"52.498543";"";"пн,вт 8:00–17:00, перерыв 12:00–13:00, ср,чт 10:00–17:00, перерыв 12:00–13:00, пт 8:00–16:00, перерыв 12:00–13:00"
"1270615041";"";"";"Территориальный фонд обязательного медицинского страхования Алтайского края, Межрайонное представительство";"Россия";"Алтайский край";"Алейск";"";"Парковый пер., 53, Алейск";"Бизнес";"Страхование";"Страховая компания";"";"+7 (38553) 2-00-90";"";"";"tfomskk@kubanoms.ru,  obrasheniya@ffoms.ru,  general@ffoms.ru";"http://www.tfoms22.ru/";"";"";"";"";"82.770869";"52.501438";"";"пн-пт 9:00–18:00, перерыв 13:00–14:00"
"217383803395";"";"";"Сибирский Дом Страхования";"Россия";"Алтайский край";"Алейск";"";"Пионерская ул., 118, Алейск";"Бизнес";"Страхование";"Страховая компания";"";"+7 (38553) 2-00-51";"";"";"sksds@sksds.ru";"https://sksds.ru/";"";"";"";"";"82.775276";"52.49883";"";"пн-пт 9:00–17:00, перерыв 12:30–13:30, сб 10:00–13:00"
"59812457893";"";"";"Капитал Медицинское страхование";"Россия";"Алтайский край";"Алейск";"658130";"Советская ул., 100А, Алейск";"Бизнес";"Страхование";"Страховая компания";"";"8 (800) 100-81-02, +7 (3852) 20-28-22";"";"";"feedback.site@kapmed.ru";"https://kapmed.ru/";"https://vk.com/kapmed";"";"https://www.facebook.com/kapmed.ru/";"https://ok.ru/kapmed";"82.778074";"52.494607";"";"пн-пт 8:00–17:00, перерыв 12:00–13:00"
"68162238193";"";"";"Мир шаров & канцелярии";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 116, Алейск";"Бизнес";"Товары для офиса";"Магазин канцтоваров";"";"+7 (38553) 2-33-55";"+7 (905) 985-85-36";"";"";"";"";"";"";"";"82.774917";"52.496682";"";"пн-пт 8:00–18:00, сб,вс 10:00–15:00"
"68162238193";"";"";"Мир шаров & канцелярии";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 116, Алейск";"Услуги";"Организация праздников";"Товары для праздника";"";"+7 (38553) 2-33-55";"+7 (905) 985-85-36";"";"";"";"";"";"";"";"82.774917";"52.496682";"";"пн-пт 8:00–18:00, сб,вс 10:00–15:00"
"134047598188";"";"";"Канцелярия, цветы и семена";"Россия";"Алтайский край";"Алейск";"";"Советская ул., 3, Алейск";"Бизнес";"Товары для офиса";"Магазин канцтоваров";"";"";"";"";"";"";"";"";"";"";"82.794067";"52.502803";"";"пн-пт 9:00–17:00, сб,вс 9:00–14:00"
"174147111593";"";"";"Вестерн Юнион";"Россия";"Алтайский край";"Алейск";"";"Промышленный пер., 7, Алейск, Россия";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 200-22-32";"";"";"ppozdniakoff@yandex.ru";"https://smart.link/5e048a5760d58";"";"https://twitter.com/WesternUnion";"https://www.facebook.com/WesternUnionRussia/";"";"82.762775";"52.488795";"";"вт-вс 9:00–20:00"
"1335891243";"";"";"Вестерн Юнион";"Россия";"Алтайский край";"Алейск";"658138";"ул. Мира, 13, Алейск";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 200-22-32";"";"";"ppozdniakoff@yandex.ru";"https://smart.link/5e048a5760d58";"";"https://twitter.com/WesternUnion";"https://www.facebook.com/WesternUnionRussia/";"";"82.75805";"52.460111";"";"вт-пт 9:00–17:00, перерыв 13:00–14:00, сб 9:00–16:00, перерыв 13:00–14:00"
"1211215242";"";"";"Вестерн Юнион";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 119, Алейск";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 200-22-32";"";"";"ppozdniakoff@yandex.ru";"https://smart.link/5e048a5760d58";"";"https://twitter.com/WesternUnion";"https://www.facebook.com/WesternUnionRussia/";"";"82.775379";"52.498116";"";"пн-пт 8:00–20:00, сб 9:00–18:00, вс 9:00–14:00"
"32511590894";"";"";"Золотая Корона";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 128, Алейск";"Бизнес";"Финансы";"Денежные переводы";"";"+7 (495) 960-05-55";"";"";"help@koronapay.com,  example@example.com";"https://koronapay.com/";"https://vk.com/koronapaycom";"";"https://www.facebook.com/korona.transfers";"https://ok.ru/group/54727332528240";"82.771794";"52.495142";"";"ежедневно, 9:00–20:00"
"1222536586";"";"";"Вестерн Юнион";"Россия";"Алтайский край";"Алейск";"658131";"Железнодорожная ул., 29, Алейск";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 200-22-32";"";"";"ppozdniakoff@yandex.ru";"https://smart.link/5e048a5760d58";"";"https://twitter.com/WesternUnion";"https://www.facebook.com/WesternUnionRussia/";"";"82.790479";"52.495166";"";"вт-сб 9:00–17:00, вс 9:00–16:00"
"1260796694";"";"";"Вестерн Юнион";"Россия";"Алтайский край";"Алейск";"658136";"ул. Ширшова, 2В, Алейск";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 200-22-32";"";"";"ppozdniakoff@yandex.ru";"https://smart.link/5e048a5760d58";"";"https://twitter.com/WesternUnion";"https://www.facebook.com/WesternUnionRussia/";"";"82.755149";"52.49777";"";"вт-сб 9:00–17:00, вс 9:00–16:00"
"145507518743";"";"";"Вестерн Юнион";"Россия";"Алтайский край";"Алейск";"";"Школьная ул., 10, Алейск";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 200-22-32";"";"";"ppozdniakoff@yandex.ru";"https://smart.link/5e048a5760d58";"";"https://twitter.com/WesternUnion";"https://www.facebook.com/WesternUnionRussia/";"";"82.794998";"52.482203";"";"пн-пт 9:00–17:00, перерыв 13:00–14:00, сб 9:00–16:00, перерыв 13:00–14:00"
"161861171823";"";"";"Вестерн Юнион";"Россия";"Алтайский край";"Алейск";"658130";"Советская ул., 100А, Алейск, Россия";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 200-22-32";"";"";"ppozdniakoff@yandex.ru";"https://smart.link/5e048a5760d58";"";"";"https://www.facebook.com/WesternUnionRussia/";"";"82.778074";"52.494607";"";"вт-сб 8:30–17:30"
"158138594751";"";"";"Золотая Корона";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 106, Алейск, Россия";"Бизнес";"Финансы";"Денежные переводы";"";"+7 (495) 960-05-55";"";"";"help@koronapay.com,  example@example.com";"https://koronapay.com/";"https://vk.com/koronapaycom";"";"https://www.facebook.com/korona.transfers";"https://ok.ru/group/54727332528240";"82.7766";"52.497858";"";"пн-пт 8:00–17:00, сб,вс 8:00–16:00"
"202398047213";"";"";"Юнистрим";"Россия";"Алтайский край";"Алейск";"";"Пионерская ул., 125, Алейск";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 333-22-44, +7 (495) 710-86-06";"";"";"relations@unistream.com,  operu@unistream.com,  romanovdvor@unistream.com,  newunistream@unistream.com,  platezhi@unistream.com,  tender@unistream.com,  press@unistream.com";"http://unistream.ru/";"https://vk.com/unistreambank/";"https://twitter.com/UnistreamMT/";"https://www.facebook.com/UnistreamMT/";"https://ok.ru/unistream/";"82.772684";"52.496389";"";""
"1151836787";"";"";"Вестерн Юнион";"Россия";"Алтайский край";"Алейск";"658133";"Советская ул., 7А, Алейск, Россия";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 200-22-32";"";"";"ppozdniakoff@yandex.ru";"https://smart.link/5e048a5760d58";"";"https://twitter.com/WesternUnion";"https://www.facebook.com/WesternUnionRussia/";"";"82.792213";"52.501751";"";"вт-вс 9:00–20:00"
"103392880855";"";"";"Вестерн Юнион";"Россия";"Алтайский край";"Алейск";"";"Первомайская ул., 8, Алейск";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 200-22-32";"";"";"ppozdniakoff@yandex.ru";"https://smart.link/5e048a5760d58";"";"";"https://www.facebook.com/WesternUnionRussia/";"";"82.792123";"52.50072";"";"пн-пт 9:00–17:00, перерыв 13:00–14:00, сб 9:00–16:00, перерыв 13:00–14:00"
"125322458118";"";"";"Золотая Корона";"Россия";"Алтайский край";"Алейск";"";"Пионерская ул., 125, Алейск";"Бизнес";"Финансы";"Денежные переводы";"";"+7 (495) 960-05-55";"";"";"help@koronapay.com,  example@example.com";"https://koronapay.com/";"https://vk.com/koronapaycom";"";"https://www.facebook.com/korona.transfers";"https://ok.ru/group/54727332528240";"82.772684";"52.496389";"";"ежедневно, 8:00–22:00"
"1371827001";"";"";"MoneyGram";"Россия";"Алтайский край";"Алейск";"658130";"Советская ул., 102, Алейск";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 500-92-53";"";"";"customerservice@moneygram.com,  salesforcesupport@moneygram.com";"http://moneygram.com.ru/";"";"https://twitter.com/MoneyGram";"https://www.facebook.com/moneygram";"";"82.77749";"52.493932";"";"пн-пт 8:30–18:30, сб 8:30–15:00"
"87830471151";"";"";"Золотая Корона";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 134, Алейск, Россия";"Бизнес";"Финансы";"Денежные переводы";"";"+7 (880) 055-00-50, +7 (495) 960-05-55";"";"";"help@koronapay.com,  example@example.com";"https://koronapay.com/";"https://vk.com/koronapaycom";"";"https://www.facebook.com/korona.transfers";"https://ok.ru/group/54727332528240";"82.77289";"52.497463";"";"ежедневно, 8:45–22:15"
"1276218825";"";"";"Вестерн Юнион";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 134, Алейск";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 200-22-32";"";"";"ppozdniakoff@yandex.ru";"https://smart.link/5e048a5760d58";"";"https://twitter.com/WesternUnion";"https://www.facebook.com/WesternUnionRussia/";"";"82.77289";"52.497463";"";"ежедневно, 9:00–21:00"
"1155819061";"";"";"Вестерн Юнион";"Россия";"Алтайский край";"Алейск";"658130";"ул. Сердюка, 101, Алейск, Россия";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 200-22-32";"";"";"ppozdniakoff@yandex.ru";"https://smart.link/5e048a5760d58";"";"https://twitter.com/WesternUnion";"https://www.facebook.com/WesternUnionRussia/";"";"82.775073";"52.492984";"";"пн-пт 9:00–16:30, перерыв 13:00–14:00"
"142881788961";"";"";"Contact";"Россия";"Алтайский край";"Алейск";"658130";"ул. Сердюка, 101, Алейск";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 200-42-42, +7 (38553) 2-16-63";"";"";"english@contact-sys.com";"https://www.contact-sys.com/";"https://vk.com/contact_sys";"";"https://www.facebook.com/contactsys";"";"82.775073";"52.492984";"";"пн-пт 9:00–16:30"
"1404532845";"";"";"MoneyGram";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 128, Алейск";"Бизнес";"Финансы";"Денежные переводы";"";"8 (800) 500-92-53";"";"";"customerservice@moneygram.com,  salesforcesupport@moneygram.com";"http://moneygram.com.ru/";"";"https://twitter.com/MoneyGram";"https://www.facebook.com/moneygram";"";"82.771758";"52.495155";"";"ежедневно, 9:00–18:45"
"1216140932";"";"";"Региональное кредитное агенство";"Россия";"Алтайский край";"Алейск";"";"Комсомольская ул., 101, Алейск";"Бизнес";"Финансы";"Кредитный брокер";"";"+7 (38553) 2-26-89";"";"";"info.rka22@gmail.com";"http://aleysk.rka22.ru/";"";"";"";"";"82.773995";"52.495616";"";"пн-пт 9:00–17:30"
"115423818066";"";"";"Кредиты займы онлайн";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 116, Алейск";"Бизнес";"Финансы";"Кредитный брокер";"";"";"+7 (983) 608-14-64";"";"";"http://money-money-need.ru/";"https://vk.com/kreditkreditonlayn";"";"";"";"82.774712";"52.496697";"";"ежедневно, круглосуточно"
"1728394863";"";"";"Ломбард Золотой Стандарт";"Россия";"Алтайский край";"Алейск";"658130";"Первомайская ул., 100А, Алейск";"Бизнес";"Финансы";"Ломбард";"";"";"+7 (983) 394-15-10";"";"";"";"";"";"";"http://ok.ru/group52764368437468";"82.776061";"52.491065";"";"ежедневно, круглосуточно"
"105291302213";"";"";"Южный экспресс";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 134, Алейск";"Бизнес";"Финансы";"Ломбард";"";"";"";"";"";"";"";"";"";"";"82.772844";"52.49748";"";"пн-пт 9:00–17:30, перерыв 13:30–14:00"
"1744893662";"";"";"ФастФинанс";"Россия";"Алтайский край";"Алейск";"658130";"Банковский пер., 23, Алейск, Россия";"Бизнес";"Финансы";"Микрофинансирование";"";"8 (800) 333-78-58";"";"";"pr@fast-finance.ru,  info@fast-finance.ru,  info@fast-fianance.ru";"http://fast-finance.ru/";"";"";"http://www.facebook.com/fastfinance.russia";"";"82.771972";"52.49738";"";"ежедневно, 5:00–15:00"
"8892230877";"";"";"Касса взаимопомощи";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 118, Алейск";"Бизнес";"Финансы";"Микрофинансирование";"";"";"+7 (913) 090-12-13";"";"5elementmfo@gmail.com,  pensionnaya.kassa.rf@gmail.com,  kvvyatka@gmail.com";"http://kreditkassa.ru/";"";"";"https://www.facebook.com/kreditkassa.ru";"";"82.774256";"52.496416";"";"пн-пт 9:00–18:00, перерыв 13:00–14:00, сб,вс 10:00–17:00"
"236279974145";"";"";"Легкие деньги";"Россия";"Алтайский край";"Алейск";"";"Комсомольская ул., 101, Алейск";"Бизнес";"Финансы";"Микрофинансирование";"";"";"";"";"";"";"";"";"";"";"82.77404";"52.495651";"";""
